
Daily-averaged electron fluxes from the Los Alamos National Laboratory (LANL) Energetic Spectrometer for Particles (ESP) Daily averages from each geosynchronous satellite available on any given day were merged into a single, uniform daily average. Data span 22 September, 1989 through 31 December, 2009. Data are log(flux) with flux in units of electrons /(cm^2.s.sr.keV) [see t 2010JA015735 _LANL_Data_and_Processing for details]
Nominal energy ranges for each ESP channel are
E234	1.8-3.5 MeV
E56	3.5-6.0 MeV
E7	6.0-7.8 MeV

2.1 Column ÒDate_YYYY-MM-DDÓ Calendar date in YYYY-MM-DD format
2.2 Column Òlog(E234)Ó, log(flux), ESP channel E234
2.3 Column Òlog(E56)Ó, log(flux), ESP channel E56
2.4 Column Òlog(E7)Ó, log(flux), ESP channel E7


Date_YYYY-MM-DD	log(E234)	log(E56)	log(E7)
1989-9-22	-9.28593e-01	-2.78514e+00	-2.08020e+00
1989-9-23	nan	nan	nan
1989-9-24	nan	nan	nan
1989-9-25	-9.43475e-01	-2.64021e+00	-1.97962e+00
1989-9-26	-1.47950e+00	-2.81185e+00	-2.05739e+00
1989-9-27	-2.18559e+00	-2.89078e+00	-2.01172e+00
1989-9-28	-2.09370e+00	-2.88186e+00	-2.00318e+00
1989-9-29	-9.10946e-01	-1.15171e+00	-5.02890e-01
1989-9-30	-4.56815e-01	-1.18320e+00	-4.39718e-01
1989-10-1	-1.34277e+00	-2.04539e+00	-1.34209e+00
1989-10-2	-1.68964e+00	-2.46959e+00	-1.70733e+00
1989-10-3	-1.78877e+00	-2.59452e+00	-1.78297e+00
1989-10-4	-1.61237e+00	-2.69529e+00	-1.86311e+00
1989-10-5	-1.38365e+00	-2.70988e+00	-1.88264e+00
1989-10-6	-1.35441e+00	-2.75769e+00	-1.91844e+00
1989-10-7	-1.66511e+00	-2.82297e+00	-1.96631e+00
1989-10-8	-1.71487e+00	-2.84716e+00	-1.97677e+00
1989-10-9	-1.57153e+00	-2.85048e+00	-1.98075e+00
1989-10-10	-1.47935e+00	-2.73200e+00	-2.02010e+00
1989-10-11	-1.34780e+00	-2.85748e+00	-2.00863e+00
1989-10-12	-1.40857
e+00	-2.86916e+00	-2.02304e+00
1989-10-13	-1.45179e+00	-2.85341e+00	-1.99563e+00
1989-10-14	-1.37316e+00	-2.81896e+00	-1.96357e+00
1989-10-15	-1.40914e+00	-2.80654e+00	-1.97191e+00
1989-10-16	-1.85568e+00	-2.94991e+00	-2.06971e+00
1989-10-17	-1.77008e+00	-2.88908e+00	-2.08364e+00
1989-10-18	-1.53691e+00	-2.95252e+00	-2.08052e+00
1989-10-19	-7.80199e-01	-1.52184e+00	-6.37092e-01
1989-10-20	9.74626e-02	-1.07455e-01	-1.28625e-01
1989-10-21	-1.52100e-01	-8.29686e-01	-2.21009e-01
1989-10-22	2.71542e-01	-1.16646e+00	-8.35982e-01
1989-10-23	6.63225e-01	-5.03757e-01	-2.36493e-01
1989-10-24	4.41068e-01	-8.63122e-01	-5.55517e-01
1989-10-25	1.55676e-01	-9.64357e-01	-3.98946e-01
1989-10-26	-1.38640e-01	-1.33479e+00	-9.44158e-01
1989-10-27	-4.65204e-01	-1.93533e+00	-1.53712e+00
1989-10-28	-4.04049e-01	-2.04304e+00	-1.75456e+00
1989-10-29	-3.80427e-01	-1.88291e+00	-1.73165e+00
1989-10-30	-4.77946e-01	-1.97533e+00	-1.87581e+00
1989-10-31	-3.48670e-01	-1.94096e+00	-1.91112e+00
1989-11-1	-4.10148e-01	-1.96017e+00	-1.92241e+00
1989-11-2	-8.31138e-01	-2.38548e+00	-1.98015e+00
1989-11-3	-6.67822e-01	-2.06238e+00	-1.97035e+00
1989-11-4	-6.59683e-01	-2.07470e+00	-1.97001e+00
1989-11-5	-6.14172e-01	-2.12212e+00	-1.98160e+00
1989-11-6	-1.28048e-01	-1.95205e+00	-1.95475e+00
1989-11-7	-2.85482e-01	-2.13884e+00	-2.00986e+00
1989-11-8	-2.07978e-01	-2.04720e+00	-1.98137e+00
1989-11-9	-4.71846e-01	-2.11114e+00	-2.03462e+00
1989-11-10	-5.60750e-01	-2.07078e+00	-2.01585e+00
1989-11-11	-8.44449e-01	-2.27041e+00	-2.07962e+00
